id,sn,title,worldwide,india_net,india_gross,overseas,budget,verdict
461,461,"Singh Saab The Great",38,26.44,35.69,2.31,35,Flop
462,462,"Ek Paheli Leela",36,26.35,35.57,0.43,20,Average
463,463,Fashion,38.74,26.25,35.44,3.3,18,"Above Average"
464,464,"The Hero: Love Story of a Spy",44.08,26.05,40.43,3.65,33,"Below Average"
465,465,"Salaam Namaste",55.98,26.01,35.11,20.87,10,Hit
466,466,Khakee,45,25.84,34.81,10.19,26,Average
467,467,"Karan Arjun",36.75,25.75,34.07,2.68,6,Blockbuster
468,468,"Karthik Calling Karthik",38.47,25.68,34.67,3.8,20,"Below Average"
469,469,Raabta,39.08,25.67,35.65,3.43,45,Flop
470,470,"Dhobi Ghat",NULL,25.6,0,NULL,1,None
471,471,"Biwi No.1",49.77,25.55,43.75,6.02,12,SuperHit
472,472,"Maine Pyaar Kyun Kiya?",45.97,25.51,35.71,10.26,15,"Above Average"
473,473,"Ek Thi Daayan",40.1,25.48,34.4,5.7,24,"Below Average"
474,474,"Teri Meri Kahaani",51.6,25.48,34.4,17.2,35,Flop
475,475,"Haunted 3D 2011",34.25,25.37,34.25,0,13,Hit
476,476,F.A.L.T.U,34.2,25.33,34.2,0,18,Average
477,477,"Raaz-The Mystery Continues 2009",36.17,25.31,32.9,3.27,15,Hit
478,478,Daawat-E-Ishq,34.13,25.28,34.13,0,30,Flop
479,479,Jazbaa,42.95,25.28,34.13,8.82,28,Flop
480,480,"Rock On!!",35.1,25.12,33.91,1.19,16,Hit
481,481,"Commando 2",39.05,25.11,33.88,5.17,26,Flop
482,482,"Rocky Handsome",35.6,25.08,33.86,1.74,40,Flop
483,483,"Gangs of Wasseypur",33.9,25.05,33.82,0.08,20,Average
484,484,"Go Goa Gone",38.67,24.98,33.72,4.95,19,Flop
485,485,Kill,48.11,24.97,29.61,18.5,1,None
486,486,Jaan-E-Mann,45.8,24.95,33.68,12.12,25,"Below Average"
487,487,Sarfira,33.91,24.85,29.41,4.5,1,None
488,488,Ishq,36.35,24.8,33.5,2.85,11,SuperHit
489,489,Junglee,32.7,24.76,29.2,3.5,50,Flop
490,490,"Hum Dil De Chuke Sanam",51.4,24.76,33.43,17.97,16,Hit
491,491,"Jurassic World: Dominion",8400,24.66,83,5200,1,None
492,492,Sarkar,38.07,24.64,33.26,4.81,13,"Above Average"
493,493,"Swatantrya Veer Savarkar",32.18,24.61,29.43,2.75,1,None
494,494,"Katti Batti",42.7,24.57,33.17,9.53,30,Flop
495,495,"Mr. X",37,24.55,33.14,3.86,35,Flop
